RecNo,Date,LessonsRecNo,Score,StudentsRecNo
1476,2012-09-25,2,92,1217
1478,2012-09-25,5,99,862
1487,2012-09-26,7,62,824
1489,2012-09-26,6,98,892
1490,2012-09-26,2,99,1315
1491,2012-09-26,4,99,1315
1492,2012-09-26,6,97,1315
1493,2012-09-26,5,93,1315
1494,2012-09-26,7,92,1315
1524,2012-10-02,1,35,1437
1525,2012-10-02,1,85,1450
1544,2012-10-02,6,92,1418
1565,2012-10-04,5,98,1290
1574,2012-10-04,1,70,1452
1583,2012-10-04,1,80,1466
1587,2012-10-10,2,89,1427
1590,2012-10-09,5,90,1104
1591,2012-10-09,2,85,1205
1592,2012-10-09,4,99,892
1593,2012-10-09,7,86,892
1594,2012-10-09,4,83,1049
1595,2012-10-09,6,94,1049
1596,2012-10-09,5,98,1049
1597,2012-10-09,5,99,1217
1598,2012-10-09,3,86,1217
1600,2012-10-09,5,94,1205
1612,2012-10-18,1,100,1486
1617,2012-10-25,3,94,1509
1618,2012-10-25,4,81,1509
1621,2012-10-25,2,96,1286
1636,2012-10-30,2,98,1291
1637,2012-10-30,3,98,1291
1638,2012-10-30,4,98,1291
1639,2012-11-07,7,63,1418
1649,2012-11-08,4,100,1513
1661,2012-11-09,1,100,1504
1662,2012-11-09,1,100,1503
1664,2012-11-11,3,76,1505
1665,2012-11-13,1,95,1515
1682,2012-11-20,1,85,1549
1683,2012-12-18,2,47,1549
1684,2012-11-20,1,95,1509
1703,2012-11-26,2,94,1505
1708,2012-11-27,1,85,1526
1709,2012-11-27,4,91,1526
1710,2012-11-27,2,80,1528
1711,2012-11-27,6,92,1526
1712,2012-11-27,4,90,1528
1713,2012-11-27,5,93,1526
1714,2012-11-27,6,90,1528
1716,2012-11-27,5,97,1528
1718,2012-11-27,7,92,1528
1724,2012-11-27,1,35,1530
1725,2012-11-27,7,99,924
1747,2012-11-28,6,95,1525
1748,2012-11-28,1,95,1525
1749,2013-01-08,7,88,1525
1751,2012-11-29,6,96,1513
1789,2012-12-11,4,86,1427
1790,2012-12-11,5,79,1427
1791,2012-12-11,7,100,1290
1792,2012-12-11,7,65,1427
1794,2012-12-11,6,85,1427
1796,2012-12-11,4,99,1286
1802,2012-12-11,3,78,1427
1805,2012-12-11,6,96,839
1806,2013-01-15,7,98,874
1810,2012-12-16,7,78,727
1825,2012-12-22,2,55,1486
1829,2012-12-22,1,65,1572
1831,2012-12-22,1,100,1567
1835,2012-12-27,7,48,733
1838,2012-12-31,2,83,1577
1839,2012-12-31,1,95,1589
1847,2012-12-31,1,90,1590
1850,2012-12-31,1,95,1591
1851,2012-12-31,1,95,1593
1856,2012-12-31,1,100,1597
1860,2013-01-02,2,93,1553
1861,2013-01-02,3,86,1553
1884,2013-01-10,7,87,1486
1885,2013-01-10,1,100,1601
1889,2013-01-10,3,74,1486
1891,2013-01-10,1,100,1599
1896,2013-01-15,6,100,872
1898,2013-01-15,6,36,1199
1909,2013-01-21,5,73,1486
1911,2013-01-28,1,100,1625
1915,2013-01-28,1,100,1616
1922,2013-01-28,1,95,1624
1924,2013-01-28,1,90,1621
1925,2013-01-28,1,75,1622
1930,2013-01-31,2,77,1567
1964,2013-02-05,1,80,1646
1971,2013-02-06,1,60,1638
1976,2013-02-12,2,56,1572
1982,2013-02-19,3,94,1646
1989,2013-03-01,3,98,1625
1990,2013-03-01,6,98,1625
1991,2013-03-01,4,99,1625
1992,2013-03-01,2,96,1525
1993,2013-03-01,5,99,1525
1994,2013-03-01,3,96,1525
1995,2013-03-01,4,95,1525
2041,2013-03-19,1,85,1683
2042,2013-03-19,2,68,1683
2043,2013-03-19,1,85,1691
2046,2013-03-19,1,95,1682
2081,2013-04-14,6,78,1486
2082,2013-04-14,4,72,1486
2085,2013-04-14,1,95,1283
2087,2013-04-14,2,89,1696
2096,2013-04-19,2,95,1428
2102,2013-05-29,2,89,1646
2123,2013-05-29,3,89,1428
2124,2013-05-29,4,89,1428
2125,2013-05-29,6,89,1428
2126,2013-05-29,1,89,1703
2127,2013-05-29,5,89,1428
2128,2013-05-29,7,89,1428
2159,2013-05-29,1,89,1717
2167,2013-05-29,2,89,1621
2168,2013-05-29,3,89,1622
2170,2013-05-29,2,89,1426
2171,2013-05-29,3,89,1426
2172,2013-05-29,4,89,1426
2173,2013-05-29,6,89,1426
2174,2013-05-29,5,89,1426
2175,2013-05-29,7,89,1426
2178,2013-05-29,2,89,1229
2179,2013-05-29,4,89,1383
